course_id,title,description,category
HIST104,Ancient Civilizations,"Explore early human societies",History
HIST105,Modern History,"Study recent historical events",History
HIST106,Asian History,"Learn about Asian historical developments",History
HIST107,African History,"Study African historical developments",History
HIST108,Military History,"Explore warfare and military developments",History
HIST109,Economic History,"Study historical economic systems",History
HIST110,Cultural History,"Learn about historical cultural developments",History
PSYCH101,General Psychology,"Study basic psychological principles",Psychology
PSYCH102,Developmental Psychology,"Learn about human development",Psychology
PSYCH103,Social Psychology,"Study group behavior and social influence",Psychology
PSYCH104,Cognitive Psychology,"Explore mental processes and behavior",Psychology
PSYCH105,Abnormal Psychology,"Study psychological disorders",Psychology
PSYCH106,Personality Psychology,"Learn about personality theories",Psychology
PSYCH107,Clinical Psychology,"Study psychological assessment and treatment",Psychology
PSYCH108,Industrial Psychology,"Explore workplace psychology",Psychology
PSYCH109,Health Psychology,"Study psychological aspects of health",Psychology
PSYCH110,Neuropsychology,"Learn about brain-behavior relationships",Psychology
BUS101,Introduction to Business,"Study basic business concepts",Business
BUS102,Marketing,"Learn about marketing principles",Business
BUS103,Finance,"Study financial management",Business
BUS104,Management,"Learn about organizational management",Business
BUS105,Accounting,"Study financial accounting",Business
BUS106,Economics,"Learn about economic principles",Business
BUS107,Entrepreneurship,"Study business creation",Business
BUS108,International Business,"Learn about global business",Business
BUS109,Human Resources,"Study personnel management",Business
BUS110,Business Ethics,"Learn about ethical business practices",Business
ART101,Art History,"Study major art movements",Art
ART102,Drawing,"Learn basic drawing techniques",Art
ART103,Painting,"Study painting methods",Art
ART104,Sculpture,"Learn sculptural techniques",Art
ART105,Digital Art,"Study computer-based art",Art
ART106,Photography,"Learn photographic techniques",Art
ART107,Design,"Study design principles",Art
ART108,Animation,"Learn animation techniques",Art
ART109,Art Criticism,"Study art analysis",Art
ART110,Art Therapy,"Learn therapeutic art methods",Art
MUS101,Music Theory,"Study musical concepts",Music
MUS102,Music History,"Learn about music development",Music
MUS103,Composition,"Study music writing",Music
MUS104,Performance,"Learn performance techniques",Music
MUS105,Jazz Studies,"Study jazz music",Music
MUS106,Classical Music,"Learn about classical music",Music
MUS107,World Music,"Study global music traditions",Music
MUS108,Music Technology,"Learn about music production",Music
MUS109,Music Education,"Study music teaching",Music
MUS110,Music Therapy,"Learn therapeutic music methods",Music
